index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,decade
0,ts300399,Five Came Back: The Reference Films,SHOW,1945,TV-MA,48,documentation,['US'],1.0,Unknown,6.6,2279.0,1940
1,tm84618,Taxi Driver,MOVIE,1976,R,113,crime,['US'],1.0,tt0075314,8.3,795222.0,1970
1,tm84618,Taxi Driver,MOVIE,1976,R,113,drama,['US'],1.0,tt0075314,8.3,795222.0,1970
2,tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,comedy,['GB'],1.0,tt0071853,8.2,530877.0,1970
2,tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,fantasy,['GB'],1.0,tt0071853,8.2,530877.0,1970
3,tm70993,Life of Brian,MOVIE,1979,R,94,comedy,['GB'],1.0,tt0079470,8.0,392419.0,1970
4,tm190788,The Exorcist,MOVIE,1973,R,133,horror,['US'],1.0,tt0070047,8.1,391942.0,1970
5,ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,comedy,['GB'],4.0,tt0063929,8.8,72895.0,1960
5,ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,european,['GB'],4.0,tt0063929,8.8,72895.0,1960
6,tm14873,Dirty Harry,MOVIE,1971,R,102,thriller,['US'],1.0,tt0066999,7.7,153463.0,1970
6,tm14873,Dirty Harry,MOVIE,1971,R,102,crime,['US'],1.0,tt0066999,7.7,153463.0,1970
6,tm14873,Dirty Harry,MOVIE,1971,R,102,action,['US'],1.0,tt0066999,7.7,153463.0,1970
7,tm185072,My Fair Lady,MOVIE,1964,G,170,drama,['US'],1.0,tt0058385,7.8,94121.0,1960
7,tm185072,My Fair Lady,MOVIE,1964,G,170,music,['US'],1.0,tt0058385,7.8,94121.0,1960
7,tm185072,My Fair Lady,MOVIE,1964,G,170,romance,['US'],1.0,tt0058385,7.8,94121.0,1960
7,tm185072,My Fair Lady,MOVIE,1964,G,170,family,['US'],1.0,tt0058385,7.8,94121.0,1960
8,tm98978,The Blue Lagoon,MOVIE,1980,R,104,romance,['US'],1.0,tt0080453,5.8,69053.0,1980
8,tm98978,The Blue Lagoon,MOVIE,1980,R,104,drama,['US'],1.0,tt0080453,5.8,69053.0,1980
9,tm119281,Bonnie and Clyde,MOVIE,1967,R,110,drama,['US'],1.0,tt0061418,7.7,111189.0,1960
9,tm119281,Bonnie and Clyde,MOVIE,1967,R,110,crime,['US'],1.0,tt0061418,7.7,111189.0,1960
9,tm119281,Bonnie and Clyde,MOVIE,1967,R,110,action,['US'],1.0,tt0061418,7.7,111189.0,1960
10,tm67378,The Professionals,MOVIE,1966,PG-13,117,western,['US'],1.0,tt0060862,7.3,16168.0,1960
10,tm67378,The Professionals,MOVIE,1966,PG-13,117,action,['US'],1.0,tt0060862,7.3,16168.0,1960
10,tm67378,The Professionals,MOVIE,1966,PG-13,117,european,['US'],1.0,tt0060862,7.3,16168.0,1960
11,tm44204,The Guns of Navarone,MOVIE,1961,Unknown,158,war,"['US', 'GB']",1.0,tt0054953,7.5,50150.0,1960
11,tm44204,The Guns of Navarone,MOVIE,1961,Unknown,158,action,"['US', 'GB']",1.0,tt0054953,7.5,50150.0,1960
11,tm44204,The Guns of Navarone,MOVIE,1961,Unknown,158,drama,"['US', 'GB']",1.0,tt0054953,7.5,50150.0,1960
12,tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,comedy,['JP'],1.0,tt0079833,7.6,30277.0,1970
12,tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,animation,['JP'],1.0,tt0079833,7.6,30277.0,1970
12,tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,action,['JP'],1.0,tt0079833,7.6,30277.0,1970
12,tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,fantasy,['JP'],1.0,tt0079833,7.6,30277.0,1970
12,tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,family,['JP'],1.0,tt0079833,7.6,30277.0,1970
13,tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,comedy,['US'],1.0,tt0079807,8.1,5141.0,1970
13,tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,documentation,['US'],1.0,tt0079807,8.1,5141.0,1970
14,tm96649,The Long Riders,MOVIE,1980,R,99,western,['US'],1.0,tt0081071,6.9,11329.0,1980
14,tm96649,The Long Riders,MOVIE,1980,R,99,crime,['US'],1.0,tt0081071,6.9,11329.0,1980
15,tm16479,White Christmas,MOVIE,1954,Unknown,115,romance,['US'],1.0,tt0047673,7.5,42373.0,1950
15,tm16479,White Christmas,MOVIE,1954,Unknown,115,comedy,['US'],1.0,tt0047673,7.5,42373.0,1950
15,tm16479,White Christmas,MOVIE,1954,Unknown,115,music,['US'],1.0,tt0047673,7.5,42373.0,1950
16,tm135083,Cairo Station,MOVIE,1958,Unknown,77,drama,['EG'],1.0,tt0051390,7.5,4385.0,1950
16,tm135083,Cairo Station,MOVIE,1958,Unknown,77,crime,['EG'],1.0,tt0051390,7.5,4385.0,1950
16,tm135083,Cairo Station,MOVIE,1958,Unknown,77,comedy,['EG'],1.0,tt0051390,7.5,4385.0,1950
17,tm14491,The Queen,MOVIE,1968,Unknown,68,documentation,['US'],1.0,tt0183686,7.2,1117.0,1960
18,tm89386,Hitler: A Career,MOVIE,1977,PG,150,documentation,['DE'],1.0,tt0191182,7.5,2416.0,1970
18,tm89386,Hitler: A Career,MOVIE,1977,PG,150,history,['DE'],1.0,tt0191182,7.5,2416.0,1970
18,tm89386,Hitler: A Career,MOVIE,1977,PG,150,european,['DE'],1.0,tt0191182,7.5,2416.0,1970
19,tm156453,FTA,MOVIE,1972,R,97,comedy,['US'],1.0,tt0068562,6.2,411.0,1970
19,tm156453,FTA,MOVIE,1972,R,97,documentation,['US'],1.0,tt0068562,6.2,411.0,1970
19,tm156453,FTA,MOVIE,1972,R,97,music,['US'],1.0,tt0068562,6.2,411.0,1970
20,tm27298,Saladin the Victorious,MOVIE,1963,Unknown,186,drama,['EG'],1.0,tt0057357,7.6,2470.0,1960
20,tm27298,Saladin the Victorious,MOVIE,1963,Unknown,186,war,['EG'],1.0,tt0057357,7.6,2470.0,1960
20,tm27298,Saladin the Victorious,MOVIE,1963,Unknown,186,action,['EG'],1.0,tt0057357,7.6,2470.0,1960
20,tm27298,Saladin the Victorious,MOVIE,1963,Unknown,186,history,['EG'],1.0,tt0057357,7.6,2470.0,1960
20,tm27298,Saladin the Victorious,MOVIE,1963,Unknown,186,romance,['EG'],1.0,tt0057357,7.6,2470.0,1960
21,tm356209,Singapore,MOVIE,1960,Unknown,158,drama,['IN'],1.0,tt0268639,6.4,82.0,1960
21,tm356209,Singapore,MOVIE,1960,Unknown,158,thriller,['IN'],1.0,tt0268639,6.4,82.0,1960
21,tm356209,Singapore,MOVIE,1960,Unknown,158,crime,['IN'],1.0,tt0268639,6.4,82.0,1960
22,tm204541,Dark Waters,MOVIE,1956,Unknown,120,drama,['EG'],1.0,tt0049761,6.7,590.0,1950
22,tm204541,Dark Waters,MOVIE,1956,Unknown,120,action,['EG'],1.0,tt0049761,6.7,590.0,1950
22,tm204541,Dark Waters,MOVIE,1956,Unknown,120,romance,['EG'],1.0,tt0049761,6.7,590.0,1950
22,tm204541,Dark Waters,MOVIE,1956,Unknown,120,thriller,['EG'],1.0,tt0049761,6.7,590.0,1950
23,tm14350,Alexandria… Why?,MOVIE,1979,Unknown,133,drama,['EG'],1.0,tt0077751,7.2,1689.0,1970
24,tm102287,Raya and Sakina,MOVIE,1953,Unknown,105,drama,['EG'],1.0,tt0316472,6.8,231.0,1950
24,tm102287,Raya and Sakina,MOVIE,1953,Unknown,105,thriller,['EG'],1.0,tt0316472,6.8,231.0,1950
24,tm102287,Raya and Sakina,MOVIE,1953,Unknown,105,crime,['EG'],1.0,tt0316472,6.8,231.0,1950
24,tm102287,Raya and Sakina,MOVIE,1953,Unknown,105,history,['EG'],1.0,tt0316472,6.8,231.0,1950
25,tm76557,No Longer Kids,MOVIE,1979,Unknown,235,comedy,['EG'],1.0,tt8312792,9.0,943.0,1970
25,tm76557,No Longer Kids,MOVIE,1979,Unknown,235,drama,['EG'],1.0,tt8312792,9.0,943.0,1970
26,tm71909,Amrapali,MOVIE,1966,Unknown,120,fantasy,['IN'],1.0,tt0060104,6.7,225.0,1960
27,tm94651,Dostana,MOVIE,1980,Unknown,161,drama,['IN'],1.0,tt0080653,2.1,25.0,1980
27,tm94651,Dostana,MOVIE,1980,Unknown,161,comedy,['IN'],1.0,tt0080653,2.1,25.0,1980
27,tm94651,Dostana,MOVIE,1980,Unknown,161,romance,['IN'],1.0,tt0080653,2.1,25.0,1980
27,tm94651,Dostana,MOVIE,1980,Unknown,161,action,['IN'],1.0,tt0080653,2.1,25.0,1980
27,tm94651,Dostana,MOVIE,1980,Unknown,161,crime,['IN'],1.0,tt0080653,2.1,25.0,1980
28,tm19608,The Blazing Sun,MOVIE,1954,Unknown,100,romance,['EG'],1.0,tt0044429,7.4,1219.0,1950
28,tm19608,The Blazing Sun,MOVIE,1954,Unknown,100,crime,['EG'],1.0,tt0044429,7.4,1219.0,1950
28,tm19608,The Blazing Sun,MOVIE,1954,Unknown,100,drama,['EG'],1.0,tt0044429,7.4,1219.0,1950
29,ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,comedy,[],1.0,tt0202477,8.1,2144.0,1970
30,tm90896,The Return of the Prodigal Son,MOVIE,1976,Unknown,124,drama,"['DZ', 'EG']",1.0,tt0074168,7.2,768.0,1970
30,tm90896,The Return of the Prodigal Son,MOVIE,1976,Unknown,124,crime,"['DZ', 'EG']",1.0,tt0074168,7.2,768.0,1970
31,tm75975,Prince,MOVIE,1969,Unknown,152,romance,['IN'],1.0,tt0064842,6.9,168.0,1960
32,tm97793,Lock Your Girls In,MOVIE,1980,Unknown,230,comedy,['EG'],1.0,Unknown,6.6,2279.0,1980
